Value,HttpPostName
178,64ATF CW V
179,62BTF CW V
180,015 TR A
181,64A TR A
182,64B TR A
183,017TF CH A
184,017 TF A
185,015 TR V
186,64A TR V
187,64B TR V
188,24V
189,017TF CW V
190,17-18TF CH A
191,17-18 TF A
192,64B NW A
193,64B RW A
194,17-18 TF CW V
195,17 DG V
196,17 RG V
197,64B NW V
198,64B RW V
199,24 V
200,15 DG V
201,15 RG V
202,15-16TF CW V
203,015 TF V
204,110V
205,015TF CH A
206,015 TF A
207,15-16TF CH A
208,15-16 TF A
209,C18 TR A
210,17-18 TR A
211,C18 TF A
212,C18TF CH A
213,C18 TR V
214,17-18 TR V
215,18 DG V
216,18 HG V
217,18 RG V
218,C18 HG V
219,24V V
220,C18TF CW V
221,110V
222,C16 TF A
223,C16TF CH A
224,C16 TR A
225,13-16 TR A
226,C16TF CW V
227,C16 TR V
228,13-16 TR V
229,24V
230,16 DG V
231,16 HG V
232,16 RG V
233,C16 HG V
234,110V
235,64A TPR V
236,64B TPR V
237,015 TPR V
238,017 TPR V
239,62A TPR V
240,62B TPR V
241,61-63 TPR V
242,5 TPR V
243,60A TPR V
244,13 TPR V
245,11 TPR V
246,7 TPR V
247,9 TPR V
248,INT B24V
249,EXT B24V
250,PTB 110V
251,SIG DN BX110V
252,TRACK BX110V UP
253,TRACK BX110V DN
254,11 TF CH A
255,11 TF A
256,5 TR A
257,60A TR A
258,11 TF V
259,5 TR V
260,60A TR V
261,5 DG V
262,5 HG V
263,5 RG V
264,C5 HG V
265,105 OFF V
266,24V
267,TX1
268,RX1
269,TX2
270,RX2
271,24V
272,MODEM
273,ER_40_R1_C1_S1
274,ER_40_R1_C1_S2
275,ER_40_R1_C2_S1
276,ER_40_R1_C2_S2
277,ER_40_R2_C1_S1
278,ER_40_R2_C1_S2
279,ER_40_R2_C2_S1
280,ER_40_R2_C2_S2
281,ERR_20_R3_CRD1
282,LC13_C1_S1
283,LC13_C1_S2
284,LC13_C2_S1
285,LC15_C1_S1
286,LC15_C1_S2
287,LC16_C1_S1
288,LC16_C1_S2
289,LC17_C1_S1
290,LC17_C1_S2
291,LC18_C1_S1
292,LC18_C1_S2
293,LC18_C2_S1
294,LC19_C1_S1
295,LC19_C1_S2
296,LC20-21_C1_S1
297,LC20-21_C1_S2
298,LC22_C1_S1
299,LC23_C1_S1
300,LC23_C1_S2
301,LC24_C1_S1
302,LC24_C1_S2
303,LC12_C1_S1
304,LC12_C1_S2
305,Axle Counter
306,LC15_C2_S1
307,spare
308,spare
309,spare
310,spare
311,D1-HHG A
312,D1-DG A
313,D1-HG A
314,DB-HHG A
315,D3-DG A
316,D3-HG A
317,1-DG A
318,1-HG A
319,1-RG A
320,C1-HG A
321,C-1 TPR V
322,1-2 TPR V
323,C-3 TPR V
324,3-4 TPR V
325,02 TPR V
326,04 TPR V
327,51 A TPR V
328,51 B TPR V
329,52 A TPR V
330,52 B TPR V
331,3 DG A
332,3 HG A
333,3 RG A
334,C3 HG A
335,02 DG A
336,02 RG A
337,04 DG A
338,04 RG A
339,201 ON A
340,203 ON A
341,12 T1PR V
342,6 TPR V
343,8T 7PR V
344,8 TPR V
345,10 TPR V
346,12 TPR V
347,14 TPR V
348,51A NWKR V
349,51A RWKR V
350,51B NWKR V
351,06 DG A
352,06 HG A
353,06 RG A
354,C6 HG A
355,8 DG A
356,8 HG A
357,8 RG A
358,C8 HG A
359,10 HG A
360,10 RG A
361,51B RWKR V
362,52A NWKR V
363,52A RWKR V
364,52B NWKR V
365,52B RWKR V
366,53A NWKR V
367,53A RWKR V
368,53B NWKR V
369,53B RWKR V
370,54A NWKR V
371,C10 HG A
372,12 HG A
373,12 RG A
374,C12 HG A
375,14 HG A
376,14 RG A
377,C14 HG A
378,54A RWKR V
379,54B NWKR V
380,54B RWKR V
381,55A NWKR V
382,55A RWKR V
383,C1TF CH A
384,C3TF CH A
385,C1 TF A
386,C3 TF A
387,C3 TR A
388,3-4 TR A
389,C1 TR A
390,1-2 TR A
391,C1 TF V
392,C3 TF V
393,C3 TR V
394,3-4 TR V
395,3 DG V
396,3 HG V
397,3 RG V
398,C3 HG V
399,C1 TR V
400,1-2 TR V
401,1 DG V
402,1 HG V
403,1 RG V
404,C1 HG V
405,24V
406,1-2 TF CH A
407,02 TF CH A
408,1-2 TF A
409,0-2 TF A
410,3-4 TF CH A
411,04 TF CH A
412,3-4 TF A
413,04 TF A
414,1-2 TF CW V
415,02 TF CW V
416,3-4 TF CW V
417,04 TF CW V
418,2 DG V
419,2 RG V
420,4 DG V
421,4 RG V
422,24V
423,51ATF CW V
424,51 BTF CW V
425,02 TR V
426,04 TR V
427,201 ON V
428,51ATF CH A
429,51BTF CH A
430,51 ATF A
431,51 BTF A
432,02 TR A
433,203 ON V
434,24V
435,PT51 BNW V
436,PT51 BRW V
437,110V
438,04 TR A
439,PT51 BNW A
440,PT51 BRW A
441,51 ATR V
442,51 BTR V
443,52ATF CW V
444,52BTF CW V
445,24V
446,110V
447,51A TR A
448,51B TR A
449,52ATF CH A
450,52BTF CH A
451,52A TF A
452,52B TF A
453,8TF CH A
454,8TF A
455,6TR A
456,8T1 TR A
457,8TF CW V
458,6 TR V
459,8T 1R V
460,6 DG V
461,6 HG V
462,6 RG V
463,C6 HG V
464,24V
465,110V
466,PT55 BNW V
467,PT55 RW V
468,PT55 BNW A
469,PT55 RW A
470,10TF CH A
471,10 TF A
472,8 TR A
473,10 TR A
474,10TF CW V
475,8 TR V
476,8 DG V
477,8 HG V
478,8 RG V
479,C8 HG V
480,10 TR V
481,10 HG V
482,10 RG V
483,C10 HG V
484,24V
485,110V
486,PT55A NW V
487,PT55A RW V
488,PT55A NW A
489,PT55A RW A
490,55B NWKR V
491,55B RWKR V
492,PT 110V
493,EXT B24V
494,INT B24V
495,SIGNAL UP BX110V
496,SIGNAL DN BX110V
497,TRACK UP BX110V
498,TRACK DN BX110V
499,6TF CH A
500,8T1F CH A
501,6 TF A
502,8 T1F A
503,52A TR A
504,110V
505,8T1 TF CW V
506,6 TF V
507,52A TR V
508,52B TR V
509,52B TR A
510,PT52A NW A
511,PT52A RW A
512,PT53B NW A
513,PT53B RW A
514,24V
515,PT52A NW V
516,PT52A RW V
517,PT53B NW V
518,PT53B RW V
519,12 TR V
520,12 HG V
521,12 RG V
522,C12 HG V
523,14 TR V
524,24V
525,14 HG V
526,14 RG V
527,C14 HG V
528,PT54A NW V
529,PT54A RW V
530,PT54A NW A
531,PT54A RW A
532,12 TR A
533,14 TR A
534,B24V INT
535,B24V EXT
536,B24V AXL RESET
537,B24V UFSBI PT-DNR
538,B24V UF PT-PWS
539,B24V UF PT-PHL E
540,B24V UF PT-PHL W
541,12TF CW V
542,12T1 TF CW V
543,12T1 TR V
544,24V
545,110V
546,14TF CW V
547,12TF CH A
548,12TF A
549,
550,12T1 TF A
551,PT53A NW V
552,PT53A RW V
553,PT54B NW V
554,PT54B RW V
555,PT53A NW A
556,PT53A RW A
557,PT54B NW A
558,PT54B RW A
559,14TF CH A
560,14 TF A
561,12T1 TR A
562,TX1 A
563,RX1 A
564,TX2 A
565,RX2 A
566,24V A
567,MODEM A
568,LC3 110 V
569,LC9_C1_S1
570,CR_60_R1_C1_S2
571,WR_40_R1_C1_S1
572,WR_40_R1_C2_S1
573,WR_40_R1_C1_S2
574,WR_40_R1_C2_S2
575,WR_30_R2_C1_S1
576,WR_30_R2_C1_S2
577,WR_30_R2_C2_S1
578,WR_30_R2_C2_S2
579,WR_20_R3_C1_S1
580,WR_20_R3_C1_S2
581,L2B_C1_S1
582,L2B_C1_S2
583,L2B_C2_S1
584,L3A_C1_S1
585,L3A_C1_S2
586,L4A_C1_S1
587,L4A_C1_S2
588,L5A_C1_S1
589,L5A_C1_S2
590,LC8_C1_S1
591,LC8_C1_S2
592,LC8_C2_S1
593,LC9_C1_S2
594,LC9_C2_S1
595,LC6_C1_S1
596,LC6_C1_S2
597,LC10_C1_S2
598,LC10_C2_S1
599,Axle_Counter_A
600,LC7_11_C1_S1
601,LC7_11_C1_S2
602,LC7_11_C2_S1
